,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
1218,"frozenset({'Sunset Copper Pot Scrubber', 'Carlson Large Curd Cottage Cheese'})","frozenset({'Club 2% Milk', 'National Small Brown Eggs'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
1217,"frozenset({'Sunset Copper Pot Scrubber', 'Club 2% Milk'})","frozenset({'National Small Brown Eggs', 'Carlson Large Curd Cottage Cheese'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
1220,"frozenset({'National Small Brown Eggs', 'Carlson Large Curd Cottage Cheese'})","frozenset({'Sunset Copper Pot Scrubber', 'Club 2% Milk'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
1219,"frozenset({'Club 2% Milk', 'National Small Brown Eggs'})","frozenset({'Sunset Copper Pot Scrubber', 'Carlson Large Curd Cottage Cheese'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
1247,"frozenset({'Club String Cheese', 'Tri-State Macintosh Apples'})","frozenset({'Horatio Fudge Cookies', 'Tell Tale Shitake Mushrooms'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
1246,"frozenset({'Horatio Fudge Cookies', 'Tell Tale Shitake Mushrooms'})","frozenset({'Club String Cheese', 'Tri-State Macintosh Apples'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
1186,"frozenset({'Club Havarti Cheese', 'Bravo Creamed Corn'})","frozenset({'Golden Grape Popsicles', 'Pleasant Fancy Canned Anchovies'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
1184,"frozenset({'Golden Grape Popsicles', 'Pleasant Fancy Canned Anchovies'})","frozenset({'Club Havarti Cheese', 'Bravo Creamed Corn'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
1212,"frozenset({'Hermanos Tomatos', 'Special Grits'})","frozenset({'Colony Rye Bread', 'CDR Strawberry Jelly'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
1211,"frozenset({'Colony Rye Bread', 'CDR Strawberry Jelly'})","frozenset({'Hermanos Tomatos', 'Special Grits'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
1474,"frozenset({'PigTail Ice Cream Sandwich', 'Imagine Frozen Chicken Thighs'})","frozenset({'Excellent Diet Soda', 'Kiwi Lox'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
1473,"frozenset({'Excellent Diet Soda', 'Kiwi Lox'})","frozenset({'PigTail Ice Cream Sandwich', 'Imagine Frozen Chicken Thighs'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
1320,"frozenset({'Tri-State Tangerines', 'Special Corn Puffs'})","frozenset({'Horatio Fudge Cookies', 'Cormorant AA-Size Batteries'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
1769,"frozenset({'Tri-State Tangerines', 'Special Corn Puffs'})","frozenset({'Faux Products Extra Moisture Shampoo', 'Hilltop Conditioning Shampoo', 'Cormorant AA-Size Batteries'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
1788,"frozenset({'Tri-State Tangerines', 'Special Corn Puffs'})","frozenset({'Horatio Fudge Cookies', 'Faux Products Extra Moisture Shampoo', 'Cormorant AA-Size Batteries'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
