"product_id","time_id","warehouse_id","store_id","units_ordered","units_shipped","warehouse_sales","warehouse_cost","supply_time","store_invoice"
308,765,1,1,53.00,7,NT$7.48,NT$2.62,4,NT$3.04
325,765,1,1,84.00,62,NT$50.55,NT$28.82,1,NT$32.85
275,765,1,1,24.00,24,NT$29.82,NT$15.51,2,NT$17.21
425,765,1,1,65.00,65,NT$46.59,NT$27.02,3,NT$30.27
1534,765,1,1,67.00,67,NT$57.74,NT$33.49,4,NT$38.51
1324,765,1,1,82.00,45,NT$80.43,NT$38.61,4,NT$43.24
1540,765,1,1,45.00,45,NT$69.70,NT$24.39,2,NT$26.83
891,765,1,1,26.00,26,NT$38.53,NT$15.03,1,NT$17.13
135,765,1,1,43.00,43,NT$98.69,NT$54.28,3,NT$62.42
1257,765,1,1,27.00,27,NT$18.33,NT$6.97,3,NT$8.01
181,765,1,1,76.00,30,NT$15.62,NT$6.56,1,NT$7.74
291,765,1,1,83.00,83,NT$73.70,NT$23.59,4,NT$26.18
223,784,1,1,47.00,47,NT$79.46,NT$29.40,3,NT$32.64
560,784,1,1,67.00,67,NT$40.20,NT$21.31,2,NT$25.35
377,784,1,1,76.00,76,NT$73.42,NT$33.04,3,NT$38.32
926,784,1,1,14.00,14,NT$4.47,NT$1.52,2,NT$1.69
837,784,1,1,49.00,49,NT$33.34,NT$18.67,3,NT$20.91
1519,784,1,1,13.00,13,NT$4.53,NT$2.49,2,NT$2.84
616,784,1,1,51.00,51,NT$27.13,NT$12.75,3,NT$14.15
1353,784,1,1,17.00,17,NT$22.09,NT$9.72,3,NT$11.56
1116,784,1,1,51.00,51,NT$68.39,NT$25.99,2,NT$29.88
999,784,1,1,43.00,43,NT$64.09,NT$29.48,2,NT$34.49
1349,784,1,1,86.00,86,NT$99.76,NT$47.88,4,NT$56.50
300,784,1,1,80.00,80,NT$94.08,NT$52.68,2,NT$62.69
1041,781,1,1,55.00,55,NT$15.62,NT$7.65,2,NT$8.73
58,781,1,1,54.00,54,NT$51.14,NT$30.17,3,NT$35.91
302,781,1,1,61.00,61,NT$94.70,NT$37.88,3,NT$43.94
1544,781,1,1,81.00,81,NT$42.57,NT$15.33,2,NT$17.93
934,781,1,1,90.00,61,NT$33.55,NT$11.07,1,NT$12.73
791,781,1,1,72.00,72,NT$60.37,NT$29.58,2,NT$34.32
807,781,1,1,13.00,13,NT$5.68,NT$3.35,4,NT$3.75
758,781,1,1,56.00,56,NT$105.40,NT$36.89,4,NT$42.79
907,781,1,1,32.00,32,NT$56.91,NT$31.87,1,NT$35.69
458,781,1,1,45.00,45,NT$34.43,NT$17.56,3,NT$20.54
662,781,1,1,80.00,80,NT$82.80,NT$26.50,2,NT$30.74
967,800,1,1,56.00,56,NT$16.74,NT$8.20,4,NT$9.35
330,800,1,1,22.00,22,NT$35.02,NT$16.81,1,NT$18.83
1412,800,1,1,62.00,62,NT$64.67,NT$32.34,2,NT$37.51
1283,800,1,1,54.00,54,NT$15.78,NT$7.73,3,NT$8.59
940,800,1,1,31.00,12,NT$17.72,NT$6.03,2,NT$6.75
1556,800,1,1,41.00,41,NT$32.60,NT$12.71,2,NT$14.87
1267,800,1,1,15.00,15,NT$7.92,NT$4.04,2,NT$4.77
1249,809,1,1,47.00,47,NT$34.08,NT$17.04,4,NT$18.92
1399,809,1,1,65.00,65,NT$40.50,NT$19.03,4,NT$22.46
949,809,1,1,62.00,62,NT$59.14,NT$21.88,4,NT$25.82
739,809,1,1,49.00,49,NT$54.81,NT$17.54,2,NT$20.35
956,809,1,1,76.00,76,NT$51.98,NT$20.79,4,NT$24.54
306,809,1,1,31.00,0,NT$0.00,NT$0.00,2,NT$0.00
696,809,1,1,12.00,12,NT$4.06,NT$1.38,3,NT$1.55
673,809,1,1,81.00,81,NT$95.43,NT$35.31,2,NT$41.67
1156,809,1,1,11.00,11,NT$9.21,NT$4.60,1,NT$5.43
1266,809,1,1,45.00,45,NT$30.80,NT$9.24,3,NT$10.26
1349,809,1,1,91.00,91,NT$121.39,NT$44.92,3,NT$53.45
1099,809,1,1,93.00,93,NT$174.77,NT$64.66,4,NT$71.78
290,809,1,1,84.00,48,NT$26.93,NT$10.23,3,NT$11.77
651,811,1,1,93.00,93,NT$40.92,NT$15.55,1,NT$18.66
29,811,1,1,25.00,25,NT$19.14,NT$10.14,2,NT$11.16
751,811,1,1,27.00,27,NT$33.11,NT$17.55,2,NT$19.83
1288,811,1,1,42.00,42,NT$25.50,NT$12.50,1,NT$14.25
505,811,1,1,13.00,13,NT$12.59,NT$3.78,4,NT$4.42
1294,811,1,1,87.00,87,NT$82.30,NT$44.44,2,NT$49.33
1533,812,1,1,89.00,89,NT$77.88,NT$31.15,3,NT$36.13
1283,812,1,1,20.00,20,NT$7.27,NT$4.14,1,NT$4.60
474,812,1,1,91.00,91,NT$102.50,NT$31.78,3,NT$36.54
1343,812,1,1,23.00,23,NT$27.72,NT$13.58,2,NT$16.17
707,812,1,1,97.00,97,NT$87.07,NT$26.99,2,NT$31.58
644,812,1,1,32.00,32,NT$10.86,NT$5.43,2,NT$6.41
101,812,1,1,65.00,65,NT$15.91,NT$5.25,1,NT$5.88
1316,812,1,1,87.00,87,NT$26.56,NT$15.67,4,NT$18.34
374,812,1,1,99.00,11,NT$7.05,NT$4.23,4,NT$4.91
84,812,1,1,35.00,35,NT$40.32,NT$14.11,4,NT$15.52
1366,812,1,1,35.00,35,NT$32.84,NT$18.72,1,NT$21.72
224,812,1,1,23.00,23,NT$13.13,NT$6.83,3,NT$7.58
534,812,1,1,82.00,82,NT$97.01,NT$32.01,2,NT$38.41
18,812,1,1,40.00,40,NT$36.31,NT$17.43,3,NT$20.39
1362,808,1,1,87.00,87,NT$42.78,NT$16.26,3,NT$18.37
1458,808,1,1,32.00,32,NT$52.90,NT$16.93,1,NT$19.64
342,808,1,1,90.00,90,NT$51.30,NT$20.01,2,NT$22.21
985,808,1,1,66.00,66,NT$20.91,NT$7.11,3,NT$7.96
1029,808,1,1,60.00,12,NT$10.08,NT$3.23,2,NT$3.64
1312,808,1,1,17.00,17,NT$13.79,NT$7.17,2,NT$8.10
49,808,1,1,94.00,94,NT$101.67,NT$47.79,4,NT$53.04
1452,808,1,1,36.00,36,NT$45.78,NT$26.09,3,NT$29.49
775,808,1,1,82.00,82,NT$42.07,NT$14.30,3,NT$16.30
1246,808,1,1,84.00,84,NT$47.86,NT$16.27,3,NT$19.04
249,808,1,1,70.00,70,NT$58.99,NT$34.21,3,NT$40.03
852,808,1,1,41.00,41,NT$12.73,NT$6.11,3,NT$6.72
871,827,1,1,69.00,69,NT$80.62,NT$24.19,2,NT$26.60
621,827,1,1,58.00,58,NT$35.47,NT$19.86,4,NT$22.84
1370,827,1,1,93.00,93,NT$84.11,NT$37.85,3,NT$43.15
267,827,1,1,75.00,75,NT$28.64,NT$14.89,4,NT$17.57
44,827,1,1,73.00,73,NT$98.39,NT$50.18,2,NT$58.71
1127,827,1,1,91.00,91,NT$131.13,NT$73.43,2,NT$84.45
584,827,1,1,64.00,64,NT$96.14,NT$44.22,1,NT$50.42
654,827,1,1,51.00,51,NT$40.95,NT$16.79,3,NT$19.31
1270,827,1,1,83.00,83,NT$109.40,NT$47.04,2,NT$54.10
