"product_id","time_id","customer_id","promotion_id","store_id","store_sales","store_cost","unit_sales"
214,1081,826,78,1,NT$8.46,NT$3.55,3.00
763,1081,826,78,1,NT$10.20,NT$3.47,4.00
260,1081,826,78,1,NT$5.52,NT$2.76,3.00
778,1081,8397,78,1,NT$8.16,NT$2.61,3.00
195,1081,8397,78,1,NT$3.54,NT$1.66,2.00
385,1081,8397,78,1,NT$3.12,NT$1.56,2.00
961,1081,8397,78,1,NT$2.62,NT$0.86,2.00
12,1081,9887,78,1,NT$4.62,NT$1.39,3.00
934,1081,9887,78,1,NT$3.30,NT$1.09,3.00
871,1081,9887,78,1,NT$10.16,NT$4.27,4.00
328,1081,9887,78,1,NT$5.04,NT$1.92,4.00
715,1081,8021,78,1,NT$3.10,NT$1.43,2.00
359,1081,8021,78,1,NT$5.28,NT$2.38,4.00
282,1081,8021,78,1,NT$2.79,NT$1.23,3.00
586,1081,4350,78,1,NT$5.68,NT$2.22,4.00
16,1081,4350,78,1,NT$11.49,NT$4.02,3.00
898,1081,4350,78,1,NT$5.22,NT$1.93,3.00
1368,1081,4350,78,1,NT$7.10,NT$2.84,2.00
785,1081,4350,78,1,NT$6.84,NT$3.42,3.00
975,1081,4350,78,1,NT$11.28,NT$5.08,3.00
1551,1081,4350,78,1,NT$2.32,NT$1.02,2.00
151,1081,5933,78,1,NT$5.82,NT$2.85,2.00
1299,1081,5933,78,1,NT$5.52,NT$2.32,2.00
557,1081,5933,78,1,NT$2.72,NT$1.12,2.00
540,1081,8176,78,1,NT$1.53,NT$0.54,3.00
1276,1081,8176,78,1,NT$4.29,NT$1.59,3.00
1453,1081,8176,78,1,NT$6.22,NT$2.86,2.00
1336,1081,8176,78,1,NT$13.56,NT$5.56,4.00
128,1081,8176,78,1,NT$1.06,NT$0.40,2.00
224,1081,8176,78,1,NT$3.46,NT$1.38,2.00
667,1081,8176,78,1,NT$7.98,NT$3.91,3.00
1346,1081,5578,78,1,NT$9.40,NT$3.95,4.00
803,1081,5578,78,1,NT$7.02,NT$3.09,2.00
1147,1081,8039,78,1,NT$4.26,NT$1.83,3.00
258,1081,8039,78,1,NT$5.16,NT$2.01,3.00
1440,1081,3138,78,1,NT$8.43,NT$3.37,3.00
1350,1081,3138,78,1,NT$2.76,NT$1.38,3.00
475,1081,3138,78,1,NT$7.83,NT$3.84,3.00
1130,1081,3138,78,1,NT$4.65,NT$1.58,3.00
308,1081,3138,78,1,NT$8.72,NT$4.01,4.00
497,1081,5406,78,1,NT$7.48,NT$2.47,4.00
701,1081,5406,78,1,NT$1.50,NT$0.65,2.00
1222,1081,1260,78,1,NT$4.90,NT$1.62,2.00
354,1081,1260,78,1,NT$11.25,NT$4.61,5.00
1502,1081,1260,78,1,NT$11.24,NT$4.95,4.00
760,1081,1260,78,1,NT$5.61,NT$2.19,3.00
1430,1081,1260,78,1,NT$13.44,NT$4.70,4.00
248,1081,1260,78,1,NT$3.44,NT$1.10,4.00
774,1081,1260,78,1,NT$7.35,NT$2.94,3.00
1234,1081,6358,78,1,NT$2.24,NT$1.01,4.00
1505,1081,6358,78,1,NT$11.00,NT$4.73,4.00
27,1081,1287,78,1,NT$7.95,NT$3.90,3.00
110,1081,1287,78,1,NT$7.05,NT$3.38,3.00
1419,1081,1287,78,1,NT$2.49,NT$0.92,3.00
610,1081,1287,78,1,NT$9.08,NT$4.27,4.00
1065,1081,1287,78,1,NT$5.64,NT$2.43,3.00
843,1081,1287,78,1,NT$8.82,NT$2.73,3.00
366,1081,1287,78,1,NT$7.08,NT$2.48,3.00
1381,1081,1287,78,1,NT$6.51,NT$3.26,3.00
638,1081,7976,78,1,NT$9.45,NT$3.59,3.00
1347,1081,7976,78,1,NT$5.31,NT$1.65,3.00
1191,1081,7976,78,1,NT$4.20,NT$1.51,2.00
16,1081,4429,78,1,NT$15.32,NT$6.89,4.00
