,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
848,"frozenset({'Best Choice Salsa Dip', 'Quick Extra Lean Hamburger', 'Imagine Low Fat French Fries'})","frozenset({'Pleasant Fancy Canned Oysters', 'CDR Hot Chocolate'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
914,"frozenset({'Fast Corn Chips', 'High Quality Silver Cleaner'})","frozenset({'Dollar Monthly Home Magazine', 'Fabulous Orange Juice'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
913,"frozenset({'Dollar Monthly Home Magazine', 'Fabulous Orange Juice'})","frozenset({'Fast Corn Chips', 'High Quality Silver Cleaner'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
853,"frozenset({'Best Choice Salsa Dip', 'Quick Extra Lean Hamburger'})","frozenset({'Pleasant Fancy Canned Oysters', 'Imagine Low Fat French Fries', 'CDR Hot Chocolate'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
1320,"frozenset({'Best Choice Salsa Dip', 'Quick Extra Lean Hamburger'})","frozenset({'Pleasant Fancy Canned Oysters', 'CDR Hot Chocolate'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
822,"frozenset({'Best Choice Salsa Dip', 'Imagine Low Fat French Fries'})","frozenset({'Pleasant Fancy Canned Oysters', 'CDR Hot Chocolate'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
852,"frozenset({'Best Choice Salsa Dip', 'Imagine Low Fat French Fries'})","frozenset({'Pleasant Fancy Canned Oysters', 'Quick Extra Lean Hamburger', 'CDR Hot Chocolate'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
2003,"frozenset({'Carlson Sharp Cheddar Cheese', 'PigTail Beef TV Dinner'})","frozenset({'Cutting Edge Potato Salad', 'Pleasant Rice Soup'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
2013,"frozenset({'Carlson Sharp Cheddar Cheese', 'PigTail Beef TV Dinner'})","frozenset({'Akron City Map', 'Pleasant Rice Soup'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
2035,"frozenset({'Carlson Sharp Cheddar Cheese', 'PigTail Beef TV Dinner'})","frozenset({'Akron City Map', 'Cutting Edge Potato Salad', 'Pleasant Rice Soup'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
844,"frozenset({'Pleasant Fancy Canned Oysters', 'Imagine Low Fat French Fries', 'CDR Hot Chocolate'})","frozenset({'Best Choice Salsa Dip', 'Quick Extra Lean Hamburger'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
846,"frozenset({'Pleasant Fancy Canned Oysters', 'Quick Extra Lean Hamburger', 'CDR Hot Chocolate'})","frozenset({'Best Choice Salsa Dip', 'Imagine Low Fat French Fries'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
794,"frozenset({'Best Choice Salsa Dip', 'Denny 25 Watt Lightbulb'})","frozenset({'Denny Scissors', 'Nationeel Lemon Cookies'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
795,"frozenset({'Denny Scissors', 'Nationeel Lemon Cookies'})","frozenset({'Best Choice Salsa Dip', 'Denny 25 Watt Lightbulb'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
1072,"frozenset({'Big Time Frozen Chicken Wings', 'Imagine Fajita French Fries'})","frozenset({'Better Fancy Canned Clams', 'Denny Large Sponge'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
1071,"frozenset({'Better Fancy Canned Clams', 'Denny Large Sponge'})","frozenset({'Big Time Frozen Chicken Wings', 'Imagine Fajita French Fries'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
1693,"frozenset({'Portsmouth Chablis Wine', 'Bird Call 200 MG Acetominifen'})","frozenset({'Colony Bagels', 'Tell Tale Limes'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
927,"frozenset({'Urban Large Eggs', 'Just Right Chicken Soup'})","frozenset({'Better Canned Tuna in Water', 'Ebony Potatos'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
1032,"frozenset({'Blue Label Canned Tuna in Water', 'Pleasant Noodle Soup'})","frozenset({'Carrington Turkey TV Dinner', 'Walrus Chardonnay Wine'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
1034,"frozenset({'Carrington Turkey TV Dinner', 'Walrus Chardonnay Wine'})","frozenset({'Blue Label Canned Tuna in Water', 'Pleasant Noodle Soup'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
986,"frozenset({'PigTail Frozen Sausage Pizza', 'Tell Tale Mushrooms', 'Hermanos Squash'})","frozenset({'Red Spade Low Fat Bologna', 'Better Large Canned Shrimp'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
963,"frozenset({'PigTail Frozen Sausage Pizza', 'Tell Tale Mushrooms'})","frozenset({'Red Spade Low Fat Bologna', 'Better Large Canned Shrimp'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
989,"frozenset({'PigTail Frozen Sausage Pizza', 'Tell Tale Mushrooms'})","frozenset({'Red Spade Low Fat Bologna', 'Hermanos Squash', 'Better Large Canned Shrimp'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
257,"frozenset({'National Small Brown Eggs', 'Carlson Large Curd Cottage Cheese'})","frozenset({'Sunset Copper Pot Scrubber', 'Club 2% Milk'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
255,"frozenset({'Sunset Copper Pot Scrubber', 'Carlson Large Curd Cottage Cheese'})","frozenset({'Club 2% Milk', 'National Small Brown Eggs'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
254,"frozenset({'Sunset Copper Pot Scrubber', 'Club 2% Milk'})","frozenset({'National Small Brown Eggs', 'Carlson Large Curd Cottage Cheese'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
256,"frozenset({'Club 2% Milk', 'National Small Brown Eggs'})","frozenset({'Sunset Copper Pot Scrubber', 'Carlson Large Curd Cottage Cheese'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
823,"frozenset({'Pleasant Fancy Canned Oysters', 'CDR Hot Chocolate'})","frozenset({'Best Choice Salsa Dip', 'Imagine Low Fat French Fries'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
851,"frozenset({'Pleasant Fancy Canned Oysters', 'CDR Hot Chocolate'})","frozenset({'Best Choice Salsa Dip', 'Quick Extra Lean Hamburger', 'Imagine Low Fat French Fries'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
1322,"frozenset({'Pleasant Fancy Canned Oysters', 'CDR Hot Chocolate'})","frozenset({'Best Choice Salsa Dip', 'Quick Extra Lean Hamburger'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
237,"frozenset({'Horatio Fudge Cookies', 'Tell Tale Shitake Mushrooms'})","frozenset({'Club String Cheese', 'Tri-State Macintosh Apples'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
238,"frozenset({'Club String Cheese', 'Tri-State Macintosh Apples'})","frozenset({'Horatio Fudge Cookies', 'Tell Tale Shitake Mushrooms'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
169,"frozenset({'Hilltop Conditioning Shampoo', 'Special Corn Puffs', 'Faux Products Extra Moisture Shampoo', 'Cormorant AA-Size Batteries'})","frozenset({'Horatio Fudge Cookies', 'Tri-State Tangerines'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
172,"frozenset({'Horatio Fudge Cookies', 'Special Corn Puffs', 'Faux Products Extra Moisture Shampoo', 'Cormorant AA-Size Batteries'})","frozenset({'Tri-State Tangerines', 'Hilltop Conditioning Shampoo'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
176,"frozenset({'Horatio Fudge Cookies', 'Special Corn Puffs', 'Hilltop Conditioning Shampoo', 'Cormorant AA-Size Batteries'})","frozenset({'Tri-State Tangerines', 'Faux Products Extra Moisture Shampoo'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
166,"frozenset({'Hilltop Conditioning Shampoo', 'Faux Products Extra Moisture Shampoo', 'Horatio Fudge Cookies', 'Cormorant AA-Size Batteries'})","frozenset({'Tri-State Tangerines', 'Special Corn Puffs'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
103,"frozenset({'Tri-State Tangerines', 'Hilltop Conditioning Shampoo'})","frozenset({'Horatio Fudge Cookies', 'Faux Products Extra Moisture Shampoo', 'Cormorant AA-Size Batteries'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
122,"frozenset({'Tri-State Tangerines', 'Hilltop Conditioning Shampoo'})","frozenset({'Special Corn Puffs', 'Faux Products Extra Moisture Shampoo', 'Cormorant AA-Size Batteries'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
196,"frozenset({'Tri-State Tangerines', 'Hilltop Conditioning Shampoo'})","frozenset({'Horatio Fudge Cookies', 'Special Corn Puffs', 'Faux Products Extra Moisture Shampoo', 'Cormorant AA-Size Batteries'})",0.00010567752503236375,0.00010567752503236375,0.00010567752503236375,1.0,9462.75,0.00010566635729306678,inf
