"position_id","position_title","pay_type","min_scale","max_scale","management_role"
1,"President","Monthly",NT$25000.00,NT$85000.00,"Senior Management"
2,"VP Country Manager","Monthly",NT$20000.00,NT$40000.00,"Senior Management"
3,"VP Information Systems","Monthly",NT$12500.00,NT$25000.00,"Senior Management"
4,"VP Human Resources","Monthly",NT$10000.00,NT$20000.00,"Senior Management"
5,"VP Finance","Monthly",NT$17000.00,NT$35000.00,"Senior Management"
6,"HQ Information Systems","Monthly",NT$6700.00,NT$10000.00,"Middle Management"
7,"HQ Marketing","Monthly",NT$5000.00,NT$8500.00,"Middle Management"
8,"HQ Human Resources","Monthly",NT$5000.00,NT$6700.00,"Middle Management"
9,"HQ Finance and Accounting","Monthly",NT$5000.00,NT$6700.00,"Middle Management"
11,"Store Manager","Monthly",NT$8500.00,NT$17000.00,"Store Management"
12,"Store Assistant Manager","Monthly",NT$6700.00,NT$12500.00,"Store Management"
13,"Store Shift Supervisor","Monthly",NT$6700.00,NT$8500.00,"Store Management"
14,"Store Information Systems","Monthly",NT$6700.00,NT$10000.00,"Store Full Time Staff"
15,"Store Permanent Checker","Monthly",NT$5000.00,NT$9000.00,"Store Full Time Staff"
16,"Store Temporary Checker","Hourly",NT$20.00,NT$40.00,"Store Full Time Staff"
17,"Store Permanent Stocker","Monthly",NT$3400.00,NT$6700.00,"Store Full Time Staff"
18,"Store Temporary Stocker","Hourly",NT$20.00,NT$40.00,"Store Temp Staff"
19,"Store Permanent Butcher","Monthly",NT$6700.00,NT$10000.00,"Store Full Time Staff"
