"product_id","time_id","warehouse_id","store_id","units_ordered","units_shipped","warehouse_sales","warehouse_cost","supply_time","store_invoice"
350,369,2,2,42.00,42,NT$23.96,NT$11.74,6,NT$13.74
1021,369,2,2,70.00,70,NT$31.60,NT$15.48,7,NT$18.12
1397,369,2,2,87.00,82,NT$63.32,NT$22.16,5,NT$25.71
267,369,2,2,94.00,94,NT$28.87,NT$12.12,5,NT$13.82
1270,369,2,2,44.00,44,NT$37.88,NT$13.64,3,NT$16.09
234,369,2,2,12.00,4,NT$4.64,NT$1.76,4,NT$2.08
1370,369,2,2,15.00,15,NT$13.57,NT$5.29,5,NT$6.19
1493,369,2,2,32.00,32,NT$68.43,NT$24.63,5,NT$28.33
710,369,2,2,30.00,30,NT$20.35,NT$11.60,4,NT$13.22
354,369,2,2,16.00,16,NT$12.96,NT$6.61,3,NT$7.40
277,369,2,2,49.00,49,NT$56.68,NT$17.57,5,NT$20.21
94,369,2,2,95.00,95,NT$34.16,NT$12.98,6,NT$14.93
1130,391,2,2,92.00,92,NT$69.87,NT$25.15,4,NT$28.93
1362,391,3,3,52.00,52,NT$34.09,NT$16.70,4,NT$19.88
1139,391,3,3,49.00,49,NT$78.48,NT$28.25,2,NT$33.06
662,391,3,3,30.00,30,NT$34.50,NT$13.80,2,NT$16.28
119,391,3,3,53.00,53,NT$62.84,NT$36.45,3,NT$41.18
190,391,3,3,60.00,60,NT$127.91,NT$52.44,3,NT$59.26
806,391,3,3,85.00,85,NT$106.08,NT$63.65,2,NT$70.65
103,391,3,3,94.00,94,NT$39.29,NT$16.90,2,NT$19.43
240,391,3,3,26.00,26,NT$11.85,NT$4.50,2,NT$5.09
656,391,3,3,62.00,62,NT$90.71,NT$48.07,2,NT$54.32
552,391,3,3,91.00,91,NT$19.52,NT$9.95,3,NT$11.45
36,391,3,3,40.00,40,NT$31.68,NT$13.94,3,NT$15.61
1150,371,3,3,90.00,90,NT$129.20,NT$71.06,3,NT$83.85
1406,371,3,3,30.00,30,NT$6.22,NT$2.18,1,NT$2.48
224,371,3,3,74.00,74,NT$44.81,NT$18.37,1,NT$21.68
1067,371,3,3,50.00,15,NT$8.35,NT$3.59,4,NT$4.17
97,371,3,3,44.00,44,NT$14.80,NT$8.29,4,NT$9.94
1034,371,3,3,71.00,71,NT$78.51,NT$42.40,3,NT$48.76
197,371,3,3,83.00,83,NT$128.01,NT$48.64,4,NT$57.40
734,371,3,3,47.00,1,NT$0.23,NT$0.07,3,NT$0.08
465,373,3,3,63.00,63,NT$57.61,NT$30.54,3,NT$36.03
1508,373,3,3,40.00,2,NT$2.76,NT$1.02,4,NT$1.20
1498,373,3,3,18.00,18,NT$19.87,NT$10.93,3,NT$13.01
1115,373,3,3,25.00,25,NT$33.75,NT$19.91,3,NT$23.70
705,373,3,3,50.00,50,NT$19.80,NT$11.09,1,NT$13.08
1521,373,3,3,60.00,20,NT$5.46,NT$2.29,2,NT$2.55
632,373,3,3,99.00,70,NT$33.70,NT$12.81,4,NT$14.47
343,375,3,3,29.00,29,NT$21.34,NT$8.54,3,NT$9.48
1093,375,3,3,85.00,85,NT$126.59,NT$49.37,3,NT$58.75
1549,375,3,3,35.00,3,NT$1.50,NT$0.59,3,NT$0.66
1326,375,3,3,59.00,59,NT$40.36,NT$21.79,4,NT$25.50
849,375,3,3,63.00,63,NT$44.70,NT$24.58,1,NT$28.52
306,375,3,3,80.00,80,NT$161.57,NT$84.02,1,NT$95.78
377,375,3,3,94.00,18,NT$18.14,NT$9.62,4,NT$11.35
993,375,3,3,78.00,78,NT$132.48,NT$62.27,2,NT$69.12
289,375,3,3,46.00,46,NT$33.40,NT$18.37,3,NT$21.49
673,370,3,3,68.00,68,NT$85.71,NT$45.42,4,NT$51.33
450,370,3,3,34.00,34,NT$41.25,NT$21.45,4,NT$23.81
1532,370,3,3,75.00,75,NT$32.32,NT$14.87,3,NT$17.39
989,370,3,3,66.00,66,NT$18.30,NT$9.70,3,NT$11.64
1060,370,3,3,19.00,5,NT$8.04,NT$2.41,3,NT$2.65
