"time_id","the_date","the_day","the_month","the_year","day_of_month","week_of_year","month_of_year","quarter","fiscal_period"
367,1997/1/1 00:00:00,"Wednesday","January",1997,1,2.00,1,"Q1",
368,1997/1/2 00:00:00,"Thursday","January",1997,2,2.00,1,"Q1",
369,1997/1/3 00:00:00,"Friday","January",1997,3,2.00,1,"Q1",
370,1997/1/4 00:00:00,"Saturday","January",1997,4,2.00,1,"Q1",
371,1997/1/5 00:00:00,"Sunday","January",1997,5,3.00,1,"Q1",
372,1997/1/6 00:00:00,"Monday","January",1997,6,3.00,1,"Q1",
373,1997/1/7 00:00:00,"Tuesday","January",1997,7,3.00,1,"Q1",
374,1997/1/8 00:00:00,"Wednesday","January",1997,8,3.00,1,"Q1",
375,1997/1/9 00:00:00,"Thursday","January",1997,9,3.00,1,"Q1",
376,1997/1/10 00:00:00,"Friday","January",1997,10,3.00,1,"Q1",
377,1997/1/11 00:00:00,"Saturday","January",1997,11,3.00,1,"Q1",
378,1997/1/12 00:00:00,"Sunday","January",1997,12,4.00,1,"Q1",
379,1997/1/13 00:00:00,"Monday","January",1997,13,4.00,1,"Q1",
380,1997/1/14 00:00:00,"Tuesday","January",1997,14,4.00,1,"Q1",
381,1997/1/15 00:00:00,"Wednesday","January",1997,15,4.00,1,"Q1",
382,1997/1/16 00:00:00,"Thursday","January",1997,16,4.00,1,"Q1",
383,1997/1/17 00:00:00,"Friday","January",1997,17,4.00,1,"Q1",
384,1997/1/18 00:00:00,"Saturday","January",1997,18,4.00,1,"Q1",
385,1997/1/19 00:00:00,"Sunday","January",1997,19,5.00,1,"Q1",
386,1997/1/20 00:00:00,"Monday","January",1997,20,5.00,1,"Q1",
387,1997/1/21 00:00:00,"Tuesday","January",1997,21,5.00,1,"Q1",
388,1997/1/22 00:00:00,"Wednesday","January",1997,22,5.00,1,"Q1",
389,1997/1/23 00:00:00,"Thursday","January",1997,23,5.00,1,"Q1",
390,1997/1/24 00:00:00,"Friday","January",1997,24,5.00,1,"Q1",
391,1997/1/25 00:00:00,"Saturday","January",1997,25,5.00,1,"Q1",
392,1997/1/26 00:00:00,"Sunday","January",1997,26,6.00,1,"Q1",
393,1997/1/27 00:00:00,"Monday","January",1997,27,6.00,1,"Q1",
394,1997/1/28 00:00:00,"Tuesday","January",1997,28,6.00,1,"Q1",
395,1997/1/29 00:00:00,"Wednesday","January",1997,29,6.00,1,"Q1",
396,1997/1/30 00:00:00,"Thursday","January",1997,30,6.00,1,"Q1",
397,1997/1/31 00:00:00,"Friday","January",1997,31,6.00,1,"Q1",
398,1997/2/1 00:00:00,"Saturday","February",1997,1,6.00,2,"Q1",
399,1997/2/2 00:00:00,"Sunday","February",1997,2,7.00,2,"Q1",
400,1997/2/3 00:00:00,"Monday","February",1997,3,7.00,2,"Q1",
401,1997/2/4 00:00:00,"Tuesday","February",1997,4,7.00,2,"Q1",
402,1997/2/5 00:00:00,"Wednesday","February",1997,5,7.00,2,"Q1",
403,1997/2/6 00:00:00,"Thursday","February",1997,6,7.00,2,"Q1",
404,1997/2/7 00:00:00,"Friday","February",1997,7,7.00,2,"Q1",
405,1997/2/8 00:00:00,"Saturday","February",1997,8,7.00,2,"Q1",
406,1997/2/9 00:00:00,"Sunday","February",1997,9,8.00,2,"Q1",
