"product_class_id","product_id","brand_name","product_name","SKU","SRP","gross_weight","net_weight","recyclable_package","low_fat","units_per_case","cases_per_pallet","shelf_width","shelf_height","shelf_depth"
30,1,"Washington","Washington Berry Juice",90748583674.00,NT$2.85,8.39,6.39,0,0,30,14,16.90,12.60,7.40
52,2,"Washington","Washington Mango Drink",96516502499.00,NT$0.74,7.42,4.42,0,1,18,8,13.40,3.71,22.60
52,3,"Washington","Washington Strawberry Drink",58427771925.00,NT$0.83,13.10,11.10,1,1,17,13,14.40,11.00,7.77
19,4,"Washington","Washington Cream Soda",64412155747.00,NT$3.64,10.60,9.60,1,0,26,10,22.90,18.90,7.93
19,5,"Washington","Washington Diet Soda",85561191439.00,NT$2.19,6.66,4.65,1,0,7,10,20.70,21.90,19.20
19,6,"Washington","Washington Cola",29804642796.00,NT$1.15,15.80,13.80,0,0,14,10,6.42,18.10,21.30
19,7,"Washington","Washington Diet Cola",20191444754.00,NT$2.61,18.00,17.00,1,0,11,7,15.00,16.90,21.00
30,8,"Washington","Washington Orange Juice",89770532250.00,NT$2.59,8.97,6.97,1,0,27,7,7.56,11.80,8.92
30,9,"Washington","Washington Cranberry Juice",49395100474.00,NT$2.42,7.14,5.13,0,0,34,7,18.50,16.10,14.40
30,10,"Washington","Washington Apple Juice",22114084362.00,NT$1.42,8.13,7.13,1,0,28,14,21.60,7.32,9.20
52,11,"Washington","Washington Apple Drink",17074288725.00,NT$3.51,20.00,19.00,0,1,3,10,19.40,10.30,20.40
35,12,"Jeffers","Jeffers Oatmeal",49031038880.00,NT$1.54,8.90,6.89,1,1,14,6,15.90,15.40,10.80
35,13,"Jeffers","Jeffers Corn Puffs",13229009509.00,NT$2.65,10.40,7.39,0,0,20,10,18.20,10.30,14.60
35,14,"Jeffers","Jeffers Wheat Puffs",92942813038.00,NT$1.93,21.60,20.60,1,1,33,10,7.73,6.94,8.01
35,15,"Jeffers","Jeffers Grits",26378549933.00,NT$2.29,21.30,20.20,0,1,14,9,8.96,18.30,12.40
62,16,"Blue Label","Blue Label Canned Beets",62908702492.00,NT$3.83,21.20,18.20,0,1,31,10,19.00,21.90,9.39
62,17,"Blue Label","Blue Label Creamed Corn",79484335780.00,NT$2.99,6.91,3.90,1,1,34,9,7.80,17.80,8.26
62,18,"Blue Label","Blue Label Canned String Beans",85252254605.00,NT$2.67,12.60,10.60,1,0,26,10,8.87,5.18,13.30
58,19,"Blue Label","Blue Label Chicken Soup",47163524031.00,NT$3.19,15.20,12.10,1,1,35,7,22.60,21.10,16.90
62,20,"Blue Label","Blue Label Canned Yams",22169209122.00,NT$2.78,21.30,19.20,0,1,22,8,5.95,5.22,11.80
58,21,"Blue Label","Blue Label Vegetable Soup",43318244814.00,NT$2.33,19.70,18.70,0,1,18,7,11.70,18.80,11.60
62,22,"Blue Label","Blue Label Canned Tomatos",77561696171.00,NT$2.29,15.00,14.00,0,0,31,13,19.00,8.73,5.02
58,23,"Blue Label","Blue Label Noodle Soup",32829326987.00,NT$1.75,10.60,9.60,1,0,17,9,19.80,3.16,15.70
58,24,"Blue Label","Blue Label Regular Ramen Soup",12408414483.00,NT$1.73,12.80,10.80,0,1,23,8,20.70,21.30,6.98
58,25,"Blue Label","Blue Label Chicken Noodle Soup",62032982707.00,NT$1.55,9.48,8.47,1,1,21,10,4.98,4.71,22.40
58,26,"Blue Label","Blue Label Turkey Noodle Soup",34751966595.00,NT$0.88,16.50,13.50,1,1,21,11,12.80,11.00,12.00
58,27,"Blue Label","Blue Label Beef Soup",29712170958.00,NT$2.65,11.20,8.19,0,1,14,12,9.91,7.62,3.10
62,28,"Blue Label","Blue Label Canned Peas",61668921113.00,NT$3.91,21.90,20.80,1,0,33,9,8.10,22.00,21.50
58,29,"Blue Label","Blue Label Chicken Ramen Soup",25866891741.00,NT$1.78,17.10,16.10,0,0,34,5,6.61,19.70,22.30
93,30,"Blue Label","Blue Label Canned Tuna in Water",93159278035.00,NT$1.41,9.71,7.71,1,0,31,5,19.50,16.10,6.61
93,31,"Blue Label","Blue Label Canned Tuna in Oil",50497145056.00,NT$1.55,17.20,15.20,1,0,28,12,19.70,13.60,3.63
94,32,"Blue Label","Blue Label Large Canned Shrimp",87027297616.00,NT$2.86,8.86,6.85,0,0,2,11,8.73,3.34,13.10
95,33,"Blue Label","Blue Label Fancy Canned Anchovies",44581629633.00,NT$1.36,8.27,6.27,0,1,16,5,5.90,9.12,17.70
96,34,"Blue Label","Blue Label Fancy Canned Clams",50349548459.00,NT$1.69,16.70,14.70,1,1,30,9,20.60,14.40,11.90
97,35,"Blue Label","Blue Label Fancy Canned Oysters",36162948012.00,NT$2.21,18.20,16.20,0,1,23,5,8.28,7.87,6.27
98,36,"Blue Label","Blue Label Fancy Canned Sardines",11168633103.00,NT$1.80,14.00,11.00,1,0,26,5,17.40,16.70,19.40
58,37,"Blue Label","Blue Label Rice Soup",32317668795.00,NT$1.59,21.00,19.00,1,1,9,6,15.40,17.50,6.65
3,38,"Green Ribbon","Green Ribbon Canned Mixed Fruit",42658990025.00,NT$1.31,14.00,11.00,1,1,32,8,11.10,17.20,5.74
3,39,"Green Ribbon","Green Ribbon Canned Peaches",33045791983.00,NT$3.11,17.50,15.50,1,0,5,7,10.80,17.70,9.04
89,40,"King","King Rosy Sunglasses",36527009606.00,NT$0.99,11.70,10.60,1,0,25,13,15.70,12.10,7.70
103,41,"Queen","Queen Eyeglass Screwdriver",86151577830.00,NT$0.89,8.61,5.60,1,0,29,12,18.30,6.34,8.70
102,42,"Queen","Queen City Map",89849260449.00,NT$2.82,13.60,11.60,1,0,6,10,3.46,5.58,17.10
15,43,"Club","Club Low Fat Cottage Cheese",18711594939.00,NT$1.67,17.70,15.70,1,0,33,11,15.40,3.71,10.70
14,44,"Club","Club Low Fat Sour Cream",50668345093.00,NT$2.93,10.70,9.69,0,1,26,5,21.10,17.90,7.32
14,45,"Club","Club Sour Cream",14866315722.00,NT$0.53,13.60,11.60,0,0,9,11,8.57,7.31,3.27
11,46,"Club","Club Jack Cheese",82158702015.00,NT$3.44,14.40,12.30,1,0,19,7,12.70,20.90,7.42
11,47,"Club","Club Muenster Cheese",39496569037.00,NT$2.57,17.80,15.70,1,0,21,13,22.30,7.03,13.20
11,48,"Club","Club String Cheese",76026721596.00,NT$1.88,6.31,3.30,1,1,17,7,5.22,18.70,11.20
11,49,"Club","Club Low Fat String Cheese",68700224757.00,NT$3.38,17.00,15.00,0,0,30,12,22.80,6.48,4.65
11,50,"Club","Club Havarti Cheese",74468143582.00,NT$3.95,9.95,7.94,0,1,36,9,9.91,22.90,6.24
11,51,"Club","Club Head Cheese",24898700118.00,NT$1.47,8.41,5.40,0,1,9,11,13.10,7.54,18.60
11,52,"Club","Club Cheese Spread",66002255082.00,NT$2.17,14.50,13.50,1,1,27,13,7.40,10.40,6.06
11,53,"Club","Club Sharp Cheddar Cheese",21053420901.00,NT$3.61,18.80,16.70,1,1,18,9,21.60,18.80,6.58
11,54,"Club","Club Mild Cheddar Cheese",31394742131.00,NT$2.93,9.58,7.57,0,1,15,14,15.90,11.70,3.87
15,55,"Club","Club Large Curd Cottage Cheese",21781544089.00,NT$3.50,14.30,12.30,1,0,20,7,12.30,16.80,14.20
76,56,"Club","Club 2% Milk",25262761712.00,NT$0.71,20.60,18.60,1,0,21,7,4.10,15.30,11.60
76,57,"Club","Club Buttermilk",74887329936.00,NT$0.61,20.10,18.10,0,0,33,6,13.50,8.69,16.70
76,58,"Club","Club Chocolate Milk",23704183697.00,NT$2.31,15.50,13.50,0,0,18,12,10.70,15.00,13.10
76,59,"Club","Club 1% Milk",42566518187.00,NT$1.40,18.80,15.70,0,0,1,6,5.57,16.30,22.10
76,60,"Club","Club Whole Milk",50621138215.00,NT$2.66,7.03,5.03,0,0,2,6,4.42,13.30,20.80
6,61,"Club","Club Strawberry Yogurt",93602067828.00,NT$0.74,13.40,11.30,0,1,22,12,16.30,11.50,13.80
6,62,"Club","Club Blueberry Yogurt",70894454121.00,NT$3.82,14.10,11.10,0,1,32,8,11.00,17.40,5.51
81,63,"Red Spade","Red Spade Chicken Hot Dogs",28232321143.00,NT$2.95,20.30,18.20,1,1,21,6,4.41,15.90,17.90
91,64,"Red Spade","Red Spade Pimento Loaf",64762473702.00,NT$1.61,13.20,12.10,1,0,33,6,18.10,17.60,12.40
91,65,"Red Spade","Red Spade Beef Bologna",57435976862.00,NT$3.76,10.30,9.30,0,1,21,12,4.44,8.80,22.70
91,66,"Red Spade","Red Spade Low Fat Bologna",63203895688.00,NT$3.44,11.90,8.89,1,1,31,9,5.00,19.10,14.10
81,67,"Red Spade","Red Spade Turkey Hot Dogs",25115165114.00,NT$1.86,6.15,4.15,0,1,27,12,19.90,7.96,10.30
81,68,"Red Spade","Red Spade Foot-Long Hot Dogs",90120850205.00,NT$3.56,16.00,14.00,1,1,2,13,20.20,10.00,4.12
16,69,"Red Spade","Red Spade Low Fat Cole Slaw",21269885897.00,NT$3.10,16.70,14.70,1,1,6,11,6.13,3.69,3.28
16,70,"Red Spade","Red Spade Cole Slaw",42828248143.00,NT$0.97,8.83,6.82,0,0,6,13,16.90,12.20,12.60
77,71,"Red Spade","Red Spade Roasted Chicken",33215050101.00,NT$2.76,21.80,20.70,0,0,7,12,4.55,5.69,7.95
8,72,"Red Spade","Red Spade Corned Beef",36696267724.00,NT$2.74,20.20,17.20,0,1,6,6,20.80,11.40,15.20
8,73,"Red Spade","Red Spade Sliced Turkey",86320835947.00,NT$2.33,19.10,16.10,0,0,22,11,15.90,9.46,4.95
8,74,"Red Spade","Red Spade Sliced Ham",35137689709.00,NT$1.57,6.13,5.13,0,1,5,7,3.38,18.80,20.80
16,75,"Red Spade","Red Spade Potato Salad",54000024199.00,NT$0.68,16.90,14.80,0,1,26,11,18.10,8.74,11.90
8,76,"Red Spade","Red Spade Sliced Chicken",62054644227.00,NT$1.69,18.10,17.10,0,1,4,7,14.60,13.50,3.42
66,77,"Blue Medal","Blue Medal Small Brown Eggs",50154744982.00,NT$2.80,14.70,12.60,0,1,13,12,20.00,10.20,8.86
66,78,"Blue Medal","Blue Medal Large Brown Eggs",27447131276.00,NT$2.19,19.50,17.50,1,1,3,6,8.29,14.20,9.13
66,79,"Blue Medal","Blue Medal Small Eggs",39665827155.00,NT$1.32,12.40,10.30,0,1,9,8,15.30,10.70,10.70
66,80,"Blue Medal","Blue Medal Large Eggs",76195979714.00,NT$3.63,17.10,14.10,0,0,31,12,12.80,9.10,11.10
66,81,"Blue Medal","Blue Medal Egg Substitute",68869482874.00,NT$2.13,17.00,15.00,0,0,35,7,12.80,18.20,10.50
34,82,"Golden","Golden Low Fat Waffles",74637401700.00,NT$2.70,21.30,18.20,0,1,25,13,7.06,6.61,11.00
110,83,"Golden","Golden Orange Popsicles",36548671126.00,NT$3.88,18.00,17.00,1,0,11,10,10.70,3.30,21.50
100,84,"Golden","Golden Frozen Chicken Breast",11554356217.00,NT$2.81,14.60,11.60,0,0,3,10,4.70,3.34,4.44
29,85,"Golden","Golden Frozen Pancakes",32703391909.00,NT$1.36,7.12,5.11,0,1,29,11,9.53,3.09,16.10
63,86,"Golden","Golden Low Fat French Fries",66946843266.00,NT$2.97,14.20,13.10,0,1,3,8,8.70,21.70,10.70
64,87,"Golden","Golden Frozen Sausage Pizza",57333645224.00,NT$1.78,19.00,17.00,1,0,19,6,15.20,21.20,18.60
34,88,"Golden","Golden Blueberry Waffles",25695691704.00,NT$0.86,7.86,6.86,1,0,6,12,10.50,12.90,18.90
63,89,"Golden","Golden Fajita French Fries",51418129801.00,NT$1.59,20.50,17.50,0,0,4,7,14.00,20.70,14.40
34,90,"Golden","Golden Waffles",24137113690.00,NT$0.77,10.20,8.19,0,1,2,12,15.10,8.08,19.50
64,91,"Golden","Golden Frozen Pepperoni Pizza",42999448180.00,NT$2.68,12.80,10.80,1,1,17,12,8.94,4.08,3.08
64,92,"Golden","Golden Frozen Cheese Pizza",51054068207.00,NT$0.83,17.10,16.10,1,0,25,5,4.09,16.80,18.60
64,93,"Golden","Golden Frozen Mushroom Pizza",39154168963.00,NT$0.96,16.40,14.30,1,0,21,12,3.11,11.50,13.10
34,94,"Golden","Golden Apple Cinnamon Waffles",16446555256.00,NT$0.62,7.90,4.90,1,0,1,9,10.50,20.90,8.15
60,95,"Golden","Golden Frozen Carrots",39882292151.00,NT$1.46,8.58,5.57,1,0,29,9,16.60,3.52,22.30
10,96,"Golden","Golden Turkey TV Dinner",10314574837.00,NT$2.11,10.70,9.69,1,1,35,8,17.50,21.70,13.50
10,97,"Golden","Golden Chicken TV Dinner",57605234980.00,NT$0.59,18.30,16.20,1,0,26,7,16.40,16.90,5.55
10,98,"Golden","Golden Beef TV Dinner",63373153805.00,NT$1.83,9.43,6.43,0,0,33,11,4.38,3.28,15.20
28,99,"Golden","Golden Pancake Mix",25284423232.00,NT$2.36,8.83,6.82,1,1,29,13,21.70,17.90,14.70
110,100,"Golden","Golden Grape Popsicles",90290108323.00,NT$1.95,9.49,8.48,1,1,6,7,9.30,16.10,6.34
63,101,"Golden","Golden Home Style French Fries",21439144015.00,NT$0.72,20.60,18.60,0,1,13,6,7.80,13.80,7.22
110,102,"Golden","Golden Lime Popsicles",55682595372.00,NT$2.45,18.20,17.20,0,1,16,10,6.01,18.30,14.80
9,103,"Golden","Golden Ice Cream",46069397330.00,NT$0.95,9.81,8.81,1,0,13,8,6.22,15.80,11.80
9,104,"Golden","Golden Ice Cream Sandwich",49550614953.00,NT$3.89,12.30,10.30,0,1,11,8,9.93,17.40,17.90
60,105,"Golden","Golden Frozen Cauliflower",75273053050.00,NT$3.72,6.16,4.15,1,0,21,11,22.70,9.49,4.28
60,106,"Golden","Golden Frozen Broccoli",36774995923.00,NT$2.96,14.60,11.60,1,1,36,6,17.40,14.70,18.50
60,107,"Golden","Golden Frozen Corn",55637330412.00,NT$1.81,19.90,18.80,0,0,25,11,4.91,8.76,11.20
