"product_id","time_id","customer_id","promotion_id","store_id","store_sales","store_cost","unit_sales"
337,371,6280,0,2,NT$1.50,NT$0.51,2.00
1512,371,6280,0,2,NT$1.62,NT$0.63,3.00
963,371,4018,0,2,NT$2.40,NT$0.72,1.00
181,371,4018,0,2,NT$2.79,NT$1.03,3.00
1383,371,4018,0,2,NT$5.18,NT$2.18,2.00
1306,371,4018,0,2,NT$7.41,NT$2.74,3.00
1196,371,1418,0,2,NT$5.84,NT$1.99,2.00
360,371,1418,0,2,NT$2.62,NT$1.05,2.00
1242,371,1418,0,2,NT$3.96,NT$1.70,2.00
154,371,1418,0,2,NT$1.96,NT$0.73,1.00
483,371,4382,0,2,NT$3.88,NT$1.71,2.00
77,371,1293,0,2,NT$5.60,NT$2.80,2.00
533,371,1293,0,2,NT$4.84,NT$2.32,2.00
310,371,1293,0,2,NT$0.76,NT$0.34,1.00
1392,371,1293,0,2,NT$0.83,NT$0.37,1.00
1303,394,9305,0,2,NT$1.36,NT$0.44,2.00
748,394,9305,0,2,NT$4.40,NT$1.94,2.00
1270,394,9305,0,2,NT$2.69,NT$1.05,1.00
311,394,5649,0,2,NT$6.45,NT$2.39,3.00
194,394,5649,0,2,NT$3.36,NT$1.51,1.00
544,394,5649,0,2,NT$2.95,NT$1.03,1.00
610,394,6319,0,2,NT$2.27,NT$0.75,1.00
854,394,6319,0,2,NT$1.60,NT$0.69,1.00
538,394,6319,0,2,NT$1.86,NT$0.74,2.00
72,394,1771,0,2,NT$5.48,NT$2.08,2.00
182,394,1771,0,2,NT$1.84,NT$0.74,1.00
265,394,1771,0,2,NT$3.61,NT$1.37,1.00
15,394,1771,0,2,NT$4.58,NT$1.60,2.00
764,394,1771,0,2,NT$7.62,NT$2.67,2.00
335,394,3211,0,2,NT$3.74,NT$1.27,1.00
924,394,3211,0,2,NT$2.70,NT$0.89,1.00
302,394,3211,0,2,NT$3.45,NT$1.35,1.00
1024,394,3211,0,2,NT$7.90,NT$3.56,2.00
2,394,3211,0,2,NT$0.74,NT$0.30,1.00
1211,376,4217,0,2,NT$7.58,NT$2.35,2.00
1055,376,4217,0,2,NT$3.24,NT$1.20,2.00
379,376,4217,0,2,NT$7.70,NT$3.70,2.00
1017,376,4772,0,2,NT$5.78,NT$2.60,2.00
1221,376,4772,0,2,NT$2.98,NT$1.13,2.00
1437,376,4772,0,2,NT$3.48,NT$1.57,2.00
375,376,4772,0,2,NT$4.58,NT$2.11,2.00
1177,376,4772,0,2,NT$1.54,NT$0.75,1.00
1155,376,4772,0,2,NT$3.76,NT$1.65,2.00
79,376,4772,0,2,NT$1.32,NT$0.55,1.00
212,376,4787,0,2,NT$3.32,NT$1.53,2.00
934,376,4787,0,2,NT$1.10,NT$0.44,1.00
1471,376,4787,0,2,NT$1.55,NT$0.65,1.00
275,376,4787,0,2,NT$6.54,NT$2.03,2.00
809,376,2508,0,2,NT$2.44,NT$0.88,2.00
1091,376,2508,0,2,NT$7.12,NT$3.49,2.00
