"store_id","store_type","region_id","store_name","store_number","store_street_address","store_city","store_state","store_postal_code","store_country","store_manager","store_phone","store_fax","first_opened_date","last_remodel_date","lease_sqft","store_sqft","grocery_sqft","frozen_sqft","meat_sqft","coffee_bar","video_store","salad_bar","prepared_food","florist"
0,"HeadQuarters",0,"HQ",0.00,"1 Alameda Way","Alameda","CA","55555","USA",,,,,,,,,,,0,0,0,0,0
1,"Supermarket",28,"Store 1",1.00,"2853 Bailey Rd","Acapulco","Guerrero","55555","Mexico","Jones","262-555-5124","262-555-5121",1982/1/9 00:00:00,1990/12/5 00:00:00,,23593.00,17474.98,3670.80,2447.20,0,0,0,0,0
2,"Small Grocery",78,"Store 2",2.00,"5203 Catanzaro Way","Bellingham","WA","55555","USA","Smith","605-555-8203","605-555-8201",1970/4/2 00:00:00,1973/6/4 00:00:00,,28206.00,22271.15,3560.90,2373.93,1,0,0,0,0
3,"Supermarket",76,"Store 3",3.00,"1501 Ramsey Circle","Bremerton","WA","55555","USA","Davis","509-555-1596","509-555-1591",1959/6/14 00:00:00,1967/11/19 00:00:00,,39696.00,24389.92,9183.64,6122.43,0,0,1,1,0
4,"Gourmet Supermarket",27,"Store 4",4.00,"433 St George Dr","Camacho","Zacatecas","55555","Mexico","Johnson","304-555-1474","304-555-1471",1994/9/27 00:00:00,1995/12/1 00:00:00,,23759.00,16844.44,4148.73,2765.82,1,0,1,1,1
5,"Small Grocery",4,"Store 5",5.00,"1250 Coggins Drive","Guadalajara","Jalisco","55555","Mexico","Green","801-555-4324","801-555-4321",1978/9/18 00:00:00,1991/6/29 00:00:00,,24597.00,15011.51,5751.29,3834.19,1,0,0,0,0
6,"Gourmet Supermarket",47,"Store 6",6.00,"5495 Mitchell Canyon Road","Beverly Hills","CA","55555","USA","Maris","958-555-5002","958-555-5001",1981/1/3 00:00:00,1991/3/13 00:00:00,,23688.00,15336.75,5010.74,3340.49,1,1,1,1,1
7,"Supermarket",3,"Store 7",7.00,"1077 Wharf Drive","Los Angeles","CA","55555","USA","White","477-555-7967","477-555-7961",1971/5/21 00:00:00,1981/10/20 00:00:00,,23598.00,14210.37,5632.57,3755.04,0,0,0,0,1
8,"Deluxe Supermarket",26,"Store 8",8.00,"3173 Buena Vista Ave","Merida","Yucatan","55555","Mexico","Williams","797-555-3417","797-555-3411",1958/9/23 00:00:00,1967/11/18 00:00:00,,30797.00,20141.20,6393.47,4262.31,1,1,1,1,1
9,"Mid-Size Grocery",2,"Store 9",9.00,"1872 El Pintado Road","Mexico City","DF","55555","Mexico","Stuber","439-555-3524","439-555-3521",1955/3/18 00:00:00,1959/6/7 00:00:00,,36509.00,22450.02,8435.38,5623.58,0,0,0,0,0
10,"Supermarket",24,"Store 10",10.00,"7894 Rotherham Dr","Orizaba","Veracruz","55555","Mexico","Merz","212-555-4774","212-555-4771",1979/4/13 00:00:00,1982/1/30 00:00:00,,34791.00,26354.01,5062.18,3374.79,0,0,1,1,0
11,"Supermarket",22,"Store 11",11.00,"5371 Holland Circle","Portland","OR","55555","USA","Erickson","685-555-8995","685-555-8991",1976/9/17 00:00:00,1982/5/15 00:00:00,,20319.00,16231.74,2452.35,1634.90,0,0,0,0,0
12,"Deluxe Supermarket",25,"Store 12",12.00,"1120 Westchester Pl","Hidalgo","Zacatecas","55555","Mexico","Kalman","151-555-1702","151-555-1701",1968/3/25 00:00:00,1993/12/18 00:00:00,,30584.00,21938.00,5187.59,3458.39,1,1,1,1,1
13,"Deluxe Supermarket",23,"Store 13",13.00,"5179 Valley Ave","Salem","OR","55555","USA","Inmon","977-555-2724","977-555-2721",1957/4/13 00:00:00,1997/11/10 00:00:00,,27694.00,18669.78,5414.52,3609.68,1,1,1,1,1
