"DATE" "JS" "VAL@S" "VOL@S" "TRA@S"
19900101       "NA"       "NA"       "NA"       "NA"
19900102       "NA"       "NA"       "NA"       "NA"
19900103       "NA"       "NA"       "NA"       "NA"
19900104    9853.15  115618.01  825590.58  312830.00
19900105    9862.42  122593.01  954284.79  372348.00
19900106    9927.06   78493.81  569919.00  225054.00
19900107       "NA"       "NA"       "NA"       "NA"
19900108    9964.72  105655.27  777294.21  294672.00
19900109    9805.40  111131.70  781775.47  310954.00
19900110    9868.82  101082.86  693870.57  274256.00
19900111   10134.97  125426.00  794931.19  309773.00
19900112   10588.56  152604.88 1044443.21  393414.00
19900113   10559.20  124814.34  891120.00  357092.00
19900114       "NA"       "NA"       "NA"       "NA"
19900115   10867.64  143308.17  982040.96  371196.00
19900116   10904.90  169069.81 1269882.83  427327.00
19900117   10835.67  131401.65  953215.00  344817.00
19900118   11153.05  130740.41  789666.51  272649.00
19900119   11422.51  175166.31 1178827.05  431028.00
19900120       "NA"       "NA"       "NA"       "NA"
19900121       "NA"       "NA"       "NA"       "NA"
19900122   11769.32  161684.20 1042311.92  419473.00
19900123   11947.01  177939.29 1345697.81  419979.00
19900124       "NA"       "NA"       "NA"       "NA"
19900125       "NA"       "NA"       "NA"       "NA"
19900126       "NA"       "NA"       "NA"       "NA"
19900127       "NA"       "NA"       "NA"       "NA"
19900128       "NA"       "NA"       "NA"       "NA"
19900129       "NA"       "NA"       "NA"       "NA"
19900130       "NA"       "NA"       "NA"       "NA"
19900131   12054.35  132805.16  929517.64  304460.00
19900201   12087.23  136760.66  940666.70  302533.00
19900202   12217.78  157365.27 1228066.93  353711.00
19900203   11869.40  125736.92  954299.00  347612.00
19900204       "NA"       "NA"       "NA"       "NA"
19900205   12302.07  152755.87 1030272.99  378812.00
19900206   12289.36  172310.64 1205309.39  451455.00
19900207   12154.98  151466.36 1067248.65  412244.00
19900208   12054.51  110998.28  748754.02  307064.00
19900209   12417.47  145187.97 1005188.08  349989.00
19900210   12495.34  155139.26 1138638.00  396523.00
19900211       "NA"       "NA"       "NA"       "NA"
19900212   12424.53  188869.98 1393674.46  474642.00
19900213   12126.96  161297.84 1183649.51  448757.00
19900214   12231.91  134640.92  935723.08  347763.00
19900215   12026.03  128568.86  943814.18  353336.00
19900216   11659.50  118187.64  859658.13  321364.00
19900217   11804.40   90558.68  666252.00  265454.00
19900218       "NA"       "NA"       "NA"       "NA"
19900219   11792.65  109820.56  875568.83  279002.00
19900220   12271.94  140305.71 1134319.09  327370.00
19900221   11975.29  188898.76 1557334.16  453925.00
19900222   11749.13  142479.16 1169935.24  360305.00
19900223   11814.35   99338.87  774942.20  264702.00
19900224   11658.66   77757.98  615574.00  226475.00
19900225       "NA"       "NA"       "NA"       "NA"
19900226   11086.63   99496.02  796110.18  309391.00
19900227   11431.20   95190.13  770965.06  276950.00
19900228   11661.73  109021.39  844440.90  302335.00
19900301   11419.85  115011.01  839254.89  326013.00
19900302   11436.99   85398.45  641111.69  247192.00
19900303   11300.63   76720.28  558309.00  218584.00
19900304       "NA"       "NA"       "NA"       "NA"
19900305   11019.36   84891.93  651056.98  278745.00
19900306   11462.14   96220.20  715151.00  276644.00
19900307   11415.56  119382.85  916453.67  299796.00
19900308   11373.32   72047.24  542024.40  203575.00
19900309   11350.28   76758.50  628197.25  213127.00
19900310   11791.20  120573.66  959044.00  326837.00
19900311       "NA"       "NA"       "NA"       "NA"
19900312   11817.54  126307.68 1037973.29  374284.00
19900313   11925.24  142714.62 1074360.35  388700.00
19900314   11896.87  130200.26 1004772.71  363776.00
19900315   11934.49  149761.96 1129197.81  428727.00
19900316   11502.34  194711.63 1488016.53  537892.00
19900317   11504.74  109284.44  860171.00  320272.00
19900318       "NA"       "NA"       "NA"       "NA"
19900319   11369.69  101170.67  787186.11  313698.00
19900320   11447.55   94520.33  727598.60  267052.00
19900321   11257.23  100897.86  799035.89  305164.00
19900322   10978.15  111596.63  856913.78  340736.00
19900323   10628.29   99605.91  766646.08  309674.00
19900324   10300.79   79351.35  629195.00  257129.00
19900325       "NA"       "NA"       "NA"       "NA"
19900326   10546.01   80763.80  635368.03  257715.00
19900327   10406.31   77203.74  581222.75  242500.00
19900328   10447.87   71273.42  562864.48  222048.00
19900329       "NA"       "NA"       "NA"       "NA"
19900330   10512.19   70006.17  521038.27  201585.00
19900331   10755.87   81182.00  631312.00  248965.00
19900401       "NA"       "NA"       "NA"       "NA"
19900402   11163.49  117941.29  879505.88  343437.00
19900403   11119.00  103711.56  709669.06  300010.00
19900404   10907.09   86178.85  616844.79  255487.00
19900405       "NA"       "NA"       "NA"       "NA"
19900406   10440.67   89024.01  655377.58  274962.00
19900407    9828.22   80336.43  631326.00  275632.00
19900408       "NA"       "NA"       "NA"       "NA"
19900409    9814.54   79303.95  664821.53  273101.00
19900410    9725.89   64210.23  515342.19  206441.00
19900411    9781.98   54515.01  441552.67  178155.00
19900412    9978.86   60760.79  515462.10  211275.00
19900413    9603.72   79610.19  667706.40  288198.00
19900414    9436.12   59437.87  504523.00  217214.00
19900415       "NA"       "NA"       "NA"       "NA"
19900416    9419.32   58518.77  473037.15  199969.00
19900417    9291.61   59865.80  510528.87  209230.00
19900418    8994.40   62090.37  546456.64  226526.00
19900419    8830.57   67338.53  615481.37  246198.00
19900420    9292.39   85109.86  804249.97  310258.00
19900421    9365.93   92365.81  833422.00  329633.00
19900422       "NA"       "NA"       "NA"       "NA"
19900423    9428.63   99035.40  872232.80  337768.00
19900424    9607.73  111303.91  986237.87  370295.00
19900425    9576.74  133953.53 1094991.67  414761.00
19900426    9517.83   98020.46  802582.17  323061.00
19900427    9713.78  122518.80 1054574.15  408611.00
19900428    9665.50   92666.88  784869.00  316601.00
19900429       "NA"       "NA"       "NA"       "NA"
19900430    9292.37   94565.31  790296.89  326456.00
19900501    8734.93   79883.38  712640.50  306377.00
19900502    8574.54   77020.31  728175.27  290236.00
19900503    8502.28   93966.93  890595.00  356013.00
19900504    8624.70   69892.14  657714.25  254006.00
19900505    8943.39   68076.01  590330.00  239610.00
19900506       "NA"       "NA"       "NA"       "NA"
19900507    8880.16   86061.86  739387.05  301142.00
19900508    8948.49   67552.42  592952.08  228117.00
19900509    8922.67   84782.23  744672.73  290946.00
19900510    8426.41   85218.93  772245.87  320761.00
19900511    8417.08   74791.95  696800.57  288913.00
19900512    8361.18   57413.87  501102.00  201208.00
19900513       "NA"       "NA"       "NA"       "NA"
19900514    8275.02   54832.13  501168.47  202232.00
19900515    8569.55   75058.77  697698.34  279405.00
19900516    8059.14  107660.00 1056967.87  407048.00
19900517    7927.17   87691.76  894608.16  348344.00
19900518    7416.96   62891.79  659468.40  276302.00
19900519       "NA"       "NA"       "NA"       "NA"
19900520       "NA"       "NA"       "NA"       "NA"
19900521    6992.89   63686.37  649078.72  264668.00
