f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,target
8.6614,11.6355,9.8681,3.3147,18.3525,2.9205,3.6181,9.6828,13.6864,7.2133,3.0664,3.6915,22.9584
8.6674,10.1590,7.7702,9.3127,10.2202,2.7473,5.0069,8.1540,12.2072,8.8397,5.2329,0.7702,14.2073
14.2513,9.4210,12.8370,17.6180,5.3756,2.0367,3.6954,8.2452,13.5407,7.5442,10.0756,10.0366,7.7068
10.2841,13.6928,15.3227,5.1014,14.7055,3.6691,3.5476,7.0303,10.5766,8.7448,8.8071,0.4493,20.1318
12.4329,11.0544,16.6108,11.2272,10.5483,3.2459,3.5793,27.5845,4.1877,20.7496,2.8827,15.1993,18.0751
9.8855,10.6424,6.4370,1.0958,17.2124,3.1831,5.7725,7.8034,13.4005,7.7637,5.3728,6.0988,17.4193
13.4881,8.6874,15.2431,5.6333,14.5813,1.5919,3.2056,8.7287,13.8056,7.8465,3.5660,2.3057,16.6075
7.3950,12.9153,9.5776,13.5034,7.4347,1.2607,5.1882,13.1204,12.5945,14.8110,5.3755,17.1526,11.7919
14.2472,15.2689,13.0473,1.9067,18.8211,2.3020,3.2386,15.6376,8.4408,16.3482,4.5437,6.6617,25.2394
13.8561,10.1555,15.7792,11.6290,9.4900,3.8058,3.4596,24.2047,8.8671,21.5766,2.6606,21.3027,12.2957
21.8101,5.1810,20.7619,11.9741,10.6018,0.7730,5.9702,11.8533,11.5927,17.6750,10.6258,16.1639,1.1675
8.7582,11.5588,14.8596,11.6517,10.4563,3.8767,5.0525,31.3712,5.2307,19.3641,7.7770,3.1238,23.4673
9.0669,10.6836,9.7531,15.3659,2.1955,0.9886,3.4459,15.4535,4.3067,21.7393,5.7351,11.3097,6.5614
8.9976,11.2715,8.6060,18.9321,2.0600,2.1004,2.6425,7.6387,10.8871,7.6998,3.7208,15.5227,7.6139
15.4988,12.4969,16.5889,2.8255,16.0367,2.2095,3.7374,31.9015,9.3914,20.9234,10.0348,16.5530,23.8172
21.8701,4.7526,20.8227,7.0161,10.0535,2.9898,3.3492,9.6805,12.3616,7.5196,10.3870,6.4857,6.1231
12.5210,13.1573,13.6329,11.0836,12.9007,3.0825,3.4190,12.8295,5.6140,21.6433,8.8493,17.1985,12.1546
12.0378,14.0759,13.7250,8.5689,13.3177,1.1745,5.9368,24.9675,5.9015,20.1204,7.8183,20.6360,19.1505
9.5676,13.4493,7.0678,14.6901,7.0091,2.2084,1.1581,26.4450,7.0822,21.5196,5.1316,5.6328,21.4687
7.4993,12.4954,9.7310,7.7260,14.4561,1.8914,3.9875,21.5610,8.1210,20.6348,5.4638,12.1139,20.3335
9.4169,13.2949,7.6881,13.3310,11.5930,3.2803,4.3841,9.8269,10.1780,7.1521,5.5385,2.8189,19.7039
6.1949,10.0300,7.1961,15.4700,6.7408,2.5697,2.9608,8.0385,13.1392,8.3155,3.1240,16.2261,9.5815
7.2572,10.0450,9.1157,18.3623,3.9005,2.7950,4.2921,8.8343,12.2985,17.1936,5.0117,9.4258,5.4136
17.4383,7.8313,21.3213,13.9961,10.1099,2.5443,2.9872,19.8404,6.0977,21.0838,10.7065,15.8541,8.5528
22.0788,6.9223,19.5918,4.7125,17.5339,3.4132,4.2076,7.9642,12.1390,6.1642,10.9908,2.2480,13.7405
23.0381,8.2734,20.9407,12.8397,8.0173,3.8149,3.1294,31.8861,7.3386,21.3937,10.9563,21.5367,11.1727
